"husage","husunion","husearns","huseduc","husblck","hushisp","hushrs","kidge6","earns","age","black","educ","hispanic","union","faminc","husexp","exper","kidlt6","hours","expersq","nwifeinc","inlf","hrwage","lwage"
27,0,390,12,0,0,40,0,0,24,0,12,0,NA,22500,9,6,1,0,36,22.5,0,NA,NA
38,NA,0,12,0,0,80,0,240,41,0,12,0,0,45000,20,23,0,40,529,32.5200004577637,1,6,1.7917594909668
48,1,320,12,0,0,0,1,494,43,0,14,0,0,67500,30,23,0,32,529,41.8120002746582,1,15.4375,2.73679971694946
51,0,350,12,0,0,40,0,620,43,0,17,0,0,45000,33,20,0,40,400,12.7600002288818,1,15.5,2.74083995819092
30,0,400,12,0,0,40,0,650,29,0,16,0,0,55000,12,7,0,40,49,21.2000007629395,1,16.25,2.78809285163879
52,NA,0,16,0,0,40,0,189,49,0,12,0,0,17500,30,31,0,10,961,7.67199993133545,1,18.8999996185303,2.93916201591492
36,0,800,15,0,0,40,1,0,35,0,13,0,NA,45000,15,16,0,0,256,45,0,NA,NA
27,NA,0,15,0,1,0,0,375,25,0,16,1,0,32500,6,3,0,40,9,13,1,9.375,2.23804664611816
46,NA,0,18,0,1,40,1,0,43,0,12,1,NA,112500,22,25,0,0,625,112.5,0,NA,NA
74,NA,0,6,0,1,0,0,0,47,0,9,1,NA,8750,62,32,0,0,1024,8.75,0,NA,NA
34,0,550,12,0,0,50,0,188,32,0,12,0,0,22500,16,14,0,0,196,12.7239999771118,0,NA,NA
29,1,424,13,0,0,60,0,340,24,0,12,0,0,37500,10,6,1,40,36,19.8199996948242,1,8.5,2.14006614685059
28,0,500,13,0,0,40,0,385,29,0,15,0,0,37500,9,8,1,40,64,17.4799995422363,1,9.625,2.26436376571655
45,0,850,12,0,0,55,0,144,44,0,12,0,0,45000,27,26,0,27,676,37.5120010375977,1,5.33333349227905,1.6739764213562
26,NA,0,10,0,1,0,0,0,23,0,8,1,NA,6250,10,9,1,0,81,6.25,0,NA,NA
61,0,260,3,0,1,0,1,205,53,0,3,1,0,27500,52,44,0,8,1936,16.8400001525879,1,25.625,3.24356842041016
48,NA,0,16,0,0,60,1,924,41,0,16,0,0,67500,26,19,0,36,361,19.4519996643066,1,25.6666660308838,3.24519300460815
47,0,1500,18,0,0,50,1,750,46,0,18,0,1,112500,23,22,0,35,484,73.5,1,21.4285717010498,3.06472516059875
28,NA,0,16,0,0,50,0,0,27,0,12,0,NA,37500,6,9,1,0,81,37.5,0,NA,NA
29,0,137,8,0,1,35,0,170,33,0,9,1,0,17500,15,18,1,40,324,8.65999984741211,1,4.25,1.44691896438599
50,NA,0,8,0,0,0,1,165,44,0,12,0,0,8750,36,26,0,25,676,0.170000001788139,1,6.59999990463257,1.88706958293915
26,1,250,12,0,0,40,0,250,25,0,12,0,0,27500,8,7,1,40,49,14.5,1,6.25,1.83258152008057
43,NA,0,11,0,0,10,0,50,43,0,12,0,0,27500,26,25,0,0,625,24.8999996185303,0,NA,NA
42,NA,0,18,0,0,0,1,0,36,0,12,0,NA,8750,18,18,0,0,324,8.75,0,NA,NA
43,0,640,15,0,0,40,1,400,42,0,13,0,0,37500,22,23,0,0,529,16.7000007629395,0,NA,NA
53,1,770,14,0,0,35,0,200,45,0,7,0,0,55000,33,32,0,40,1024,44.5999984741211,1,5,1.60943794250488
33,0,400,14,0,0,40,0,0,32,0,12,0,NA,17500,13,14,1,0,196,17.5,0,NA,NA
46,0,550,12,0,0,40,0,600,41,0,16,0,0,67500,28,19,0,40,361,36.2999992370605,1,15,2.70805025100708
40,0,654,16,0,1,40,0,300,39,0,12,1,0,37500,18,21,1,30,441,21.8999996185303,1,10,2.30258512496948
62,0,300,12,0,0,60,0,140,57,0,12,0,0,37500,44,39,0,21,1521,30.2199993133545,1,6.66666650772095,1.89711999893188
49,0,1500,16,0,0,48,1,405,35,0,12,0,1,55000,27,17,0,40,289,33.939998626709,1,10.125,2.31500768661499
46,NA,0,12,0,0,16,1,0,41,0,10,0,NA,6250,28,25,0,0,625,6.25,0,NA,NA
34,1,1263,12,0,0,60,0,692,32,0,18,0,0,112500,16,8,0,40,64,76.515998840332,1,17.2999992370605,2.85070633888245
59,0,90,12,0,0,15,0,280,54,0,12,0,0,27500,41,36,0,40,1296,12.9399995803833,1,7,1.94591009616852
47,0,500,14,0,0,55,0,350,43,0,12,0,0,45000,27,25,0,32,625,26.7999992370605,1,10.9375,2.39219737052917
36,0,1000,16,0,0,50,0,272,36,0,14,0,0,45000,14,16,1,32,256,30.8560009002686,1,8.5,2.14006614685059
48,0,460,16,0,0,50,1,600,44,0,16,0,0,67500,26,22,0,0,484,36.2999992370605,0,NA,NA
37,0,240,14,0,0,40,1,854,33,0,15,0,0,45000,17,12,0,60,144,0.592000007629395,1,14.2333335876465,2.65558671951294
37,NA,0,9,0,0,60,1,0,39,0,14,0,NA,112500,22,19,0,0,361,112.5,0,NA,NA
36,0,1621,18,0,1,40,1,0,34,0,12,1,NA,112500,12,16,0,0,256,112.5,0,NA,NA
57,1,440,12,0,0,40,0,0,51,0,12,0,NA,32500,39,33,0,0,1089,32.5,0,NA,NA
39,NA,0,12,1,0,10,1,200,34,1,11,0,0,37500,21,17,0,40,289,27.1000003814697,1,5,1.60943794250488
33,NA,0,12,1,0,0,0,0,34,1,16,0,NA,8750,15,12,1,0,144,8.75,0,NA,NA
39,1,850,16,0,0,50,1,117,37,0,12,0,0,37500,17,19,0,25,361,31.4160003662109,1,4.67999982833862,1.54329812526703
44,0,1300,16,0,0,60,0,0,41,0,17,0,NA,67500,22,18,1,0,324,67.5,0,NA,NA
35,0,1250,18,0,0,0,0,865,33,0,18,0,0,112500,11,9,1,40,81,67.5199966430664,1,21.625,3.07385015487671
61,1,582,11,0,0,40,0,120,56,0,12,0,0,0,44,38,0,25,1444,0,1,4.80000019073486,1.56861591339111
40,0,1200,16,0,0,45,1,0,41,0,12,0,NA,112500,18,23,0,0,529,112.5,0,NA,NA
43,NA,0,14,0,1,40,1,150,35,0,11,1,0,32500,23,18,0,25,324,24.7000007629395,1,6,1.7917594909668
44,0,600,18,0,0,50,1,0,40,0,14,0,NA,55000,20,20,0,0,400,55,0,NA,NA
35,0,1000,16,0,0,43,0,140,23,0,15,0,0,55000,13,2,1,10,4,47.7200012207031,1,14,2.63905739784241
42,NA,0,12,0,0,40,0,0,39,0,12,0,NA,0,24,21,1,0,441,0,0,NA,NA
46,0,240,12,0,0,40,1,453,38,0,12,0,0,32500,28,20,0,40,400,8.94400024414062,1,11.3249998092651,2.42701268196106
34,0,275,14,0,0,55,0,184,31,0,12,0,0,32500,14,13,1,40,169,22.931999206543,1,4.59999990463257,1.52605628967285
41,0,900,16,0,0,40,0,540,35,0,17,0,0,55000,19,12,0,40,144,26.9200000762939,1,13.5,2.60268974304199
42,NA,0,13,0,0,32,1,700,39,0,15,0,0,112500,23,18,0,40,324,76.0999984741211,1,17.5,2.86220097541809
34,0,420,12,0,0,40,0,0,32,0,15,0,NA,22500,16,11,1,0,121,22.5,0,NA,NA
43,0,769,17,0,0,40,1,180,42,0,16,0,0,112500,20,20,0,15,400,103.139999389648,1,12,2.4849066734314
55,NA,0,18,0,0,60,0,0,53,0,12,0,NA,112500,31,35,0,0,1225,112.5,0,NA,NA
49,1,425,8,0,0,60,0,280,48,0,12,0,0,32500,35,30,0,40,900,17.9400005340576,1,7,1.94591009616852
21,0,400,12,0,0,60,0,0,23,0,12,1,NA,32500,3,5,1,0,25,32.5,0,NA,NA
27,NA,0,15,0,0,30,0,40,23,0,14,0,0,0,6,3,1,12,9,0,1,3.33333325386047,1.20397281646729
46,0,280,12,0,0,32,0,577,46,0,16,0,1,67500,28,24,0,50,576,37.4959983825684,1,11.539999961853,2.44581913948059
32,0,600,12,1,0,40,0,0,32,1,12,0,NA,17500,14,14,0,0,196,17.5,0,NA,NA
25,0,320,6,0,1,32,0,0,19,0,9,1,NA,6250,13,4,0,0,16,6.25,0,NA,NA
57,0,375,13,0,0,40,1,45,53,0,13,0,0,27500,38,34,0,16,1156,25.1599998474121,1,2.8125,1.03407371044159
53,NA,0,12,0,0,40,0,0,49,0,12,0,NA,32500,35,31,0,0,961,32.5,0,NA,NA
43,NA,0,8,0,0,50,0,0,42,0,12,0,NA,112500,29,24,1,0,576,112.5,0,NA,NA
30,0,1000,13,0,0,45,0,20,31,0,12,0,0,55000,11,13,1,8,169,53.9599990844727,1,2.5,0.916290760040283
34,0,500,12,0,0,50,1,360,33,0,12,0,0,45000,16,15,0,40,225,26.2800006866455,1,9,2.19722461700439
34,NA,0,16,0,0,65,1,0,34,0,16,0,NA,112500,12,12,0,0,144,112.5,0,NA,NA
62,0,275,14,0,0,40,0,21,59,0,14,0,0,27500,42,39,0,1,1521,26.4080009460449,1,21,3.04452252388
43,1,650,12,0,0,38,1,720,40,0,14,0,0,67500,25,20,0,40,400,30.0599994659424,1,18,2.89037179946899
32,0,1923,12,0,0,40,0,0,28,0,12,0,NA,112500,14,10,1,0,100,112.5,0,NA,NA
37,NA,0,12,0,0,90,0,350,33,0,12,0,0,17500,19,15,1,40,225,0,1,8.75,2.16905379295349
45,0,1100,18,0,0,40,1,425,43,0,12,0,0,3000,21,25,0,45,625,0,1,9.44444465637207,2.24542665481567
28,0,550,12,0,0,60,0,0,27,0,12,0,NA,27500,10,9,1,0,81,27.5,0,NA,NA
47,0,1385,17,0,0,50,0,0,44,0,12,0,NA,112500,24,26,0,0,676,112.5,0,NA,NA
37,0,826,16,0,0,50,0,712,31,0,16,0,0,3000,15,9,0,45,81,0,1,15.8222217559814,2.76141548156738
61,NA,0,14,0,0,0,0,77,53,0,12,0,0,27500,41,35,0,0,1225,23.496000289917,0,NA,NA
38,NA,0,16,0,0,50,0,0,37,0,14,0,NA,112500,16,17,1,0,289,112.5,0,NA,NA
33,0,900,12,0,0,80,1,0,27,0,11,0,NA,55000,15,10,0,0,100,55,0,NA,NA
58,NA,0,12,0,0,0,0,280,53,0,12,0,0,0,40,35,0,40,1225,0,1,7,1.94591009616852
59,NA,0,12,0,0,60,0,0,51,0,14,0,NA,0,41,31,0,0,961,0,0,NA,NA
24,0,450,13,0,0,50,0,366,23,0,14,0,0,45000,5,3,0,40,9,25.9680004119873,1,9.14999961853027,2.21375393867493
48,1,673,16,0,0,50,0,577,45,0,16,0,0,67500,26,23,1,40,529,37.4959983825684,1,14.4250001907349,2.66896271705627
63,NA,0,10,0,0,0,0,0,59,0,11,0,NA,0,47,42,0,0,1764,0,0,NA,NA
26,0,144,14,0,0,0,0,600,27,0,16,0,0,67500,6,5,0,40,25,36.2999992370605,1,15,2.70805025100708
40,0,400,12,0,0,32,1,184,40,0,15,0,0,32500,22,19,0,16,361,22.931999206543,1,11.5,2.44234704971313
44,NA,0,14,0,0,40,1,0,28,0,15,0,NA,112500,24,7,0,0,49,112.5,0,NA,NA
30,0,800,15,0,0,40,1,0,30,0,12,0,NA,0,9,12,0,0,144,0,0,NA,NA
31,0,480,12,0,0,40,0,180,31,0,12,0,0,22500,13,13,1,0,169,13.1400003433228,0,NA,NA
52,0,1000,14,0,0,50,0,300,35,0,12,0,0,27500,32,17,0,40,289,11.8999996185303,1,7.5,2.01490306854248
45,1,254,16,0,0,45,1,166,43,0,13,0,0,32500,23,24,0,24,576,23.8680000305176,1,6.91666650772095,1.93393397331238
41,1,750,12,0,0,42,1,236,39,0,13,0,0,3000,23,20,0,21,400,0,1,11.2380952835083,2.41930937767029
30,NA,0,13,0,0,0,0,96,28,0,13,0,0,13750,11,9,1,24,81,8.75800037384033,1,4,1.3862943649292
54,0,260,16,0,0,40,0,404,31,0,16,0,0,0,32,9,0,35,81,0,1,11.542857170105,2.44606685638428
54,1,700,8,0,0,50,1,175,40,0,13,0,0,37500,40,21,0,35,441,28.3999996185303,1,5,1.60943794250488
28,1,200,12,1,0,40,0,200,25,1,12,0,0,13750,10,7,1,40,49,3.34999990463257,1,5,1.60943794250488
63,0,120,16,0,0,0,0,345,58,0,12,0,0,32500,41,40,0,32,1600,14.5600004196167,1,10.78125,2.37780857086182
34,NA,0,16,0,0,72,0,437,35,0,17,0,0,37500,12,12,1,16,144,14.7760000228882,1,27.3125,3.30734443664551
37,1,519,18,0,0,45,0,183,36,0,17,0,0,37500,13,13,1,20,169,27.9839992523193,1,9.14999961853027,2.21375393867493
51,0,520,12,0,0,45,1,700,39,0,12,0,0,112500,33,21,0,40,441,76.0999984741211,1,17.5,2.86220097541809
41,0,600,13,0,0,50,0,500,45,0,16,0,0,45000,22,23,0,40,529,19,1,12.5,2.52572870254517
32,1,300,13,0,0,40,0,400,26,0,15,1,0,17500,13,5,1,40,25,0,1,10,2.30258512496948
38,1,720,14,0,0,60,0,0,36,0,14,0,NA,55000,18,16,1,0,256,55,0,NA,NA
50,NA,0,18,0,0,0,0,337,46,0,13,0,0,67500,26,27,0,40,729,49.976001739502,1,8.42500019073486,2.13120341300964
36,0,100,9,0,0,8,0,212,34,0,12,0,0,8750,21,16,0,24,256,0,1,8.83333301544189,2.17853236198425
50,NA,0,10,0,0,48,0,0,51,0,12,0,NA,22500,34,33,0,0,1089,22.5,0,NA,NA
43,1,730,18,0,0,40,0,580,43,0,12,0,0,3000,19,25,0,0,625,0,0,NA,NA
30,0,550,12,0,0,50,0,350,30,0,18,0,0,37500,12,6,1,20,36,19.2999992370605,1,17.5,2.86220097541809
28,1,200,12,1,0,48,0,0,29,1,12,0,NA,27500,10,11,1,0,121,27.5,0,NA,NA
38,1,340,13,0,0,40,1,250,48,0,16,0,0,112500,19,26,0,45,676,99.5,1,5.55555534362793,1.71479833126068
68,NA,0,12,0,0,0,0,425,38,0,14,0,1,67500,50,18,0,40,324,45.4000015258789,1,10.625,2.36320972442627
34,NA,0,18,0,0,60,0,0,32,0,16,0,NA,112500,10,10,1,0,100,112.5,0,NA,NA
31,0,345,12,0,0,48,0,290,25,0,14,0,0,22500,13,5,1,40,25,7.42000007629395,1,7.25,1.981001496315
29,0,840,12,0,0,84,0,610,28,0,12,0,0,32500,11,10,1,40,100,0.779999971389771,1,15.25,2.72457957267761
22,0,280,12,0,0,50,0,0,21,0,12,0,NA,8750,4,3,1,0,9,8.75,0,NA,NA
40,1,508,12,0,1,24,0,0,34,0,12,0,NA,45000,22,16,1,0,256,45,0,NA,NA
50,1,500,12,0,0,50,0,336,57,0,11,0,0,45000,32,40,0,48,1600,27.5279998779297,1,7,1.94591009616852
28,0,154,12,0,1,0,0,0,27,0,12,1,NA,6250,10,9,1,0,81,6.25,0,NA,NA
44,0,425,12,0,0,40,1,0,44,0,12,0,NA,55000,26,26,0,0,676,55,0,NA,NA
54,NA,0,16,0,0,40,0,370,52,0,12,0,0,67500,32,34,0,0,1156,48.2599983215332,0,NA,NA
38,0,1770,18,0,0,45,0,0,35,0,14,0,NA,112500,14,15,1,0,225,112.5,0,NA,NA
42,0,950,12,0,0,50,1,247,43,0,12,0,0,67500,24,25,0,35,625,54.6559982299805,1,7.05714273452759,1.95404028892517
39,0,360,11,1,0,40,1,260,40,1,12,0,0,32500,22,22,0,40,484,18.9799995422363,1,6.5,1.8718022108078
44,NA,0,18,0,0,30,1,275,43,0,18,0,0,112500,20,19,0,55,361,98.1999969482422,1,5,1.60943794250488
41,1,400,13,0,0,40,1,0,41,0,12,0,NA,22500,22,23,0,0,529,22.5,0,NA,NA
25,0,433,12,0,0,43,0,0,25,0,17,1,NA,22500,7,2,0,0,4,22.5,0,NA,NA
49,0,200,10,0,1,65,0,191,51,0,7,1,0,27500,33,38,0,48,1444,17.568000793457,1,3.97916674613953,1.38107240200043
33,NA,0,14,0,0,84,0,0,36,0,12,0,NA,37500,13,18,1,0,324,37.5,0,NA,NA
51,0,600,16,0,0,0,0,1000,46,0,16,0,0,67500,29,24,0,40,576,15.5,1,25,3.21887588500977
62,0,300,12,0,0,43,0,0,58,0,11,0,NA,27500,44,41,0,0,1681,27.5,0,NA,NA
44,0,626,11,0,0,32,0,0,50,0,12,0,NA,55000,27,32,0,0,1024,55,0,NA,NA
61,0,400,16,0,0,40,0,563,57,0,15,0,0,37500,39,36,0,40,1296,8.22399997711182,1,14.0749998092651,2.64440011978149
35,1,180,14,0,0,17,0,0,30,0,13,0,NA,8750,15,11,1,0,121,8.75,0,NA,NA
43,0,300,12,0,0,40,0,425,44,0,12,0,0,55000,25,26,0,50,676,32.9000015258789,1,8.5,2.14006614685059
55,1,350,7,0,0,46,0,0,47,1,12,0,NA,17500,42,29,0,0,841,17.5,0,NA,NA
31,0,300,10,1,0,40,0,212,28,1,12,0,0,11500,15,10,1,40,100,0.476000010967255,1,5.30000019073486,1.66770684719086
39,NA,0,12,0,0,80,0,608,37,0,12,0,0,55000,21,19,1,24,361,23.3840007781982,1,25.3333339691162,3.23212099075317
48,0,900,16,0,0,40,1,0,49,0,12,0,NA,3000,26,31,0,0,961,3,0,NA,NA
40,1,932,16,0,0,40,1,1182,42,0,18,0,1,112500,18,18,0,40,324,51.0359992980957,1,29.5499992370605,3.38608360290527
36,1,560,12,0,0,40,1,200,32,0,13,0,0,55000,18,13,0,40,169,44.5999984741211,1,5,1.60943794250488
55,0,1700,13,0,0,65,1,560,42,0,14,0,0,3000,36,22,0,40,484,0,1,14,2.63905739784241
58,0,500,13,0,0,40,0,0,54,0,8,0,NA,37500,39,40,0,0,1600,37.5,0,NA,NA
30,0,528,13,0,0,48,0,186,31,0,14,0,0,32500,11,11,0,32,121,22.8279991149902,1,5.8125,1.76001071929932
64,0,480,12,0,0,48,0,0,54,0,12,0,NA,67500,46,36,0,0,1296,67.5,0,NA,NA
37,0,630,12,0,0,40,0,0,35,0,12,0,NA,45000,19,17,1,0,289,45,0,NA,NA
52,NA,0,12,0,0,70,0,175,52,0,12,0,0,32500,34,34,0,16,1156,23.3999996185303,1,10.9375,2.39219737052917
51,NA,0,13,0,0,25,1,320,46,0,12,0,0,0,32,28,0,0,784,0,0,NA,NA
27,1,560,12,0,0,40,0,480,28,0,12,0,0,55000,9,10,1,40,100,30.0400009155273,1,12,2.4849066734314
38,NA,0,12,0,0,60,1,0,37,0,14,0,NA,37500,20,17,0,0,289,37.5,0,NA,NA
48,1,600,12,0,0,40,1,173,41,0,14,0,0,45000,30,21,0,30,441,36.0040016174316,1,5.76666688919067,1.75209426879883
58,NA,0,17,0,0,50,0,0,50,0,15,0,NA,45000,35,29,0,0,841,45,0,NA,NA
56,0,33,18,0,0,16,0,0,52,0,18,0,NA,3000,32,28,0,0,784,3,0,NA,NA
39,0,900,18,0,0,40,0,300,40,0,14,0,1,55000,15,20,1,24,400,39.4000015258789,1,12.5,2.52572870254517
43,1,620,15,0,0,41,1,0,43,0,12,0,NA,37500,22,25,0,0,625,37.5,0,NA,NA
55,0,325,15,0,1,36,0,318,48,0,13,1,0,45000,34,29,0,40,841,28.4640007019043,1,7.94999980926514,2.07317185401917
47,NA,0,12,0,1,0,0,419,46,0,14,1,0,13750,29,26,0,0,676,0,0,NA,NA
35,0,1442,18,0,0,50,0,150,34,0,18,0,0,3000,11,10,1,6,100,0,1,25,3.21887588500977
43,1,961,16,0,0,40,0,500,40,0,16,0,1,45000,21,18,0,40,324,19,1,12.5,2.52572870254517
35,NA,0,12,0,0,40,0,600,32,0,13,0,0,17500,17,13,1,40,169,0,1,15,2.70805025100708
48,NA,0,13,0,0,49,0,550,29,0,16,0,0,37500,29,7,1,50,49,8.89999961853027,1,11,2.39789533615112
27,0,796,18,0,0,42,0,0,26,0,18,0,NA,67500,3,2,1,0,4,67.5,0,NA,NA
63,NA,0,3,0,0,0,0,0,45,0,6,0,NA,3000,54,33,0,0,1089,3,0,NA,NA
44,1,600,15,0,0,48,1,450,37,0,12,0,0,55000,23,19,0,40,361,31.6000003814697,1,11.25,2.42036819458008
45,0,1230,16,0,0,45,1,280,39,0,16,0,1,67500,23,17,0,0,289,52.939998626709,0,NA,NA
39,1,1800,12,0,0,40,0,0,36,0,10,0,NA,0,21,20,0,0,400,0,0,NA,NA
34,NA,0,13,0,0,40,1,230,43,0,12,0,0,32500,15,25,0,40,625,20.5400009155273,1,5.75,1.74919986724854
53,1,1000,16,0,0,50,0,0,48,0,12,0,NA,55000,31,30,0,0,900,55,0,NA,NA
27,0,560,12,0,0,40,0,0,26,0,12,0,NA,32500,9,8,1,0,64,32.5,0,NA,NA
41,NA,0,16,0,0,40,0,43,48,0,13,0,0,27500,19,29,0,10,841,25.2639999389648,1,4.30000019073486,1.45861506462097
42,1,920,13,0,0,47,0,800,40,0,12,0,0,3000,23,22,1,32,484,0,1,25,3.21887588500977
41,0,560,16,0,0,0,1,200,36,0,13,0,0,37500,19,17,0,40,289,27.1000003814697,1,5,1.60943794250488
45,NA,0,12,0,0,0,1,350,44,0,16,0,1,27500,27,22,0,40,484,9.30000019073486,1,8.75,2.16905379295349
45,0,1250,18,0,0,75,0,0,31,0,12,0,NA,55000,21,13,1,0,169,55,0,NA,NA
32,0,308,12,0,0,41,0,0,28,0,9,0,NA,32500,14,13,1,0,169,32.5,0,NA,NA
39,NA,0,4,0,0,0,1,200,41,0,4,0,0,27500,29,31,0,40,961,17.1000003814697,1,5,1.60943794250488
29,0,400,12,0,0,40,1,180,29,0,12,0,0,27500,11,11,0,18,121,18.1399993896484,1,10,2.30258512496948
60,0,200,12,0,0,40,0,218,57,0,12,0,0,22500,42,39,0,120,1521,11.1639995574951,1,1.81666672229767,0.59700334072113
52,0,1500,16,0,0,50,0,875,49,0,16,0,0,112500,30,27,0,50,729,67,1,17.5,2.86220097541809
59,0,670,18,0,0,40,0,317,55,0,14,0,0,67500,35,35,0,40,1225,51.015998840332,1,7.92500019073486,2.07002234458923
44,NA,0,12,0,0,70,0,0,33,0,12,0,NA,27500,26,15,1,0,225,27.5,0,NA,NA
52,1,400,12,0,0,46,0,0,56,0,12,0,NA,0,34,38,0,0,1444,0,0,NA,NA
54,0,425,12,0,0,40,0,0,52,0,11,0,NA,22500,36,35,0,0,1225,22.5,0,NA,NA
40,NA,0,12,0,0,40,0,700,39,0,15,0,0,45000,22,18,0,40,324,8.60000038146973,1,17.5,2.86220097541809
26,0,334,11,0,0,40,0,400,23,0,12,0,0,32500,9,5,1,40,25,11.6999998092651,1,10,2.30258512496948
32,0,403,18,0,0,40,0,0,28,0,12,0,NA,32500,8,10,1,0,100,32.5,0,NA,NA
45,NA,0,12,1,0,0,1,288,42,1,9,0,0,27500,27,27,0,0,729,12.5240001678467,0,NA,NA
69,NA,0,7,0,0,0,0,150,59,0,12,0,1,37500,56,41,0,0,1681,29.7000007629395,0,NA,NA
42,1,285,7,0,0,40,1,285,40,0,12,0,1,27500,29,22,0,40,484,12.6800003051758,1,7.125,1.96360969543457
38,0,302,17,0,0,44,0,0,34,0,18,0,NA,17500,15,10,1,0,100,17.5,0,NA,NA
53,0,1000,12,0,0,40,0,423,49,0,13,0,0,0,35,30,0,35,900,0,1,12.08571434021,2.49202418327332
48,0,673,12,0,0,40,0,0,49,0,9,0,NA,32500,30,34,0,0,1156,32.5,0,NA,NA
46,NA,0,13,0,0,50,0,0,46,0,15,0,NA,112500,27,25,0,0,625,112.5,0,NA,NA
39,0,800,16,0,0,40,0,300,35,0,12,0,0,55000,17,17,1,40,289,39.4000015258789,1,7.5,2.01490306854248
30,0,272,12,0,0,40,0,0,28,0,8,0,NA,0,12,14,0,0,196,0,0,NA,NA
31,NA,0,16,0,0,0,1,105,33,0,15,0,1,13750,9,12,0,18,144,8.28999996185303,1,5.83333349227905,1.76358866691589
58,1,523,12,0,0,48,0,200,52,0,14,0,0,37500,40,32,0,36,1024,27.1000003814697,1,5.55555534362793,1.71479833126068
36,0,700,12,0,0,40,0,220,33,0,9,0,1,32500,18,18,1,20,324,21.0599994659424,1,11,2.39789533615112
24,0,360,12,0,0,40,0,180,27,0,12,0,0,17500,6,9,1,0,81,8.14000034332275,0,NA,NA
34,0,673,18,0,0,40,0,0,35,0,16,0,NA,112500,10,13,1,0,169,112.5,0,NA,NA
39,0,652,12,0,1,48,1,26,38,0,12,1,0,32500,21,20,0,5,400,31.1480007171631,1,5.19999980926514,1.64865863323212
40,0,600,17,0,0,40,1,246,40,0,12,0,0,3000,17,22,0,30,484,0,1,8.19999980926514,2.10413408279419
37,0,385,12,0,0,40,1,0,40,0,14,0,NA,55000,19,20,0,0,400,55,0,NA,NA
37,0,150,14,0,0,60,1,145,33,0,14,0,0,13750,17,13,0,28,169,6.21000003814697,1,5.17857122421265,1.64452922344208
36,1,414,10,0,0,16,1,260,47,0,15,0,0,37500,20,26,0,0,676,23.9799995422363,0,NA,NA
39,0,320,7,0,0,40,1,0,34,0,10,0,NA,27500,26,18,0,0,324,27.5,0,NA,NA
35,NA,0,16,0,0,40,0,0,29,0,12,0,NA,112500,13,11,1,0,121,112.5,0,NA,NA
35,0,1000,12,0,0,40,1,520,33,0,15,0,0,112500,17,12,0,40,144,85.4599990844727,1,13,2.56494927406311
28,0,500,13,0,0,50,0,406,28,0,12,0,0,3000,9,10,0,40,100,0,1,10.1499996185303,2.31747364997864
22,0,400,12,0,0,40,0,180,22,0,12,0,0,22500,4,4,0,48,16,13.1400003433228,1,3.75,1.32175588607788
64,NA,0,18,0,0,50,0,0,54,0,17,0,NA,112500,40,31,0,0,961,112.5,0,NA,NA
58,NA,0,3,1,0,0,0,320,54,1,11,0,0,13750,49,37,0,0,1369,0,0,NA,NA
36,1,654,13,0,0,40,1,0,32,0,12,0,NA,45000,17,14,0,0,196,45,0,NA,NA
58,0,480,18,0,0,40,1,800,49,0,16,0,0,3000,34,27,0,40,729,0,1,20,2.99573230743408
57,NA,0,16,0,0,40,0,0,48,0,12,0,NA,3000,35,30,0,0,900,3,0,NA,NA
45,0,400,15,0,0,54,1,320,47,0,13,0,0,55000,24,28,0,40,784,38.3600006103516,1,8,2.0794415473938
40,NA,0,15,0,0,40,0,300,37,0,18,0,0,67500,19,13,1,16,169,51.9000015258789,1,18.75,2.93119382858276
40,NA,0,18,0,0,32,0,0,38,0,18,0,NA,112500,16,14,1,0,196,112.5,0,NA,NA
49,0,1000,12,0,0,50,0,338,48,0,12,0,0,112500,31,30,0,40,900,94.9240036010742,1,8.44999980926514,2.13416647911072
35,1,750,13,0,0,40,1,450,33,0,12,0,0,0,16,15,0,40,225,0,1,11.25,2.42036819458008
55,0,578,18,0,0,40,1,596,51,0,18,0,1,67500,31,27,0,40,729,36.507999420166,1,14.8999996185303,2.70136117935181
32,0,324,12,0,0,20,0,0,28,0,9,0,NA,22500,14,13,1,0,169,22.5,0,NA,NA
36,0,240,12,0,0,40,0,520,45,0,14,0,1,37500,18,25,0,40,625,10.460000038147,1,13,2.56494927406311
61,NA,0,12,0,0,15,0,0,59,0,12,0,NA,17500,43,41,0,0,1681,17.5,0,NA,NA
28,1,320,12,0,0,40,0,280,35,0,12,1,0,37500,10,17,1,40,289,22.9400005340576,1,7,1.94591009616852
60,1,575,18,0,0,40,0,432,57,0,15,0,0,55000,36,36,0,24,1296,32.5359992980957,1,18,2.89037179946899
26,0,380,11,0,0,48,0,300,28,0,12,0,0,37500,9,10,1,40,100,21.8999996185303,1,7.5,2.01490306854248
55,1,800,12,0,0,40,0,160,54,0,12,0,0,67500,37,36,0,35,1296,59.1800003051758,1,4.57142877578735,1.51982581615448
57,NA,0,16,0,0,0,0,305,55,0,13,0,0,22500,35,36,0,45,1296,6.6399998664856,1,6.77777767181396,1.91364932060242
26,0,200,16,0,0,20,0,520,26,0,18,0,0,27500,4,2,0,40,4,0.46000000834465,1,13,2.56494927406311
40,0,250,12,0,0,40,1,456,39,0,13,0,1,45000,22,20,0,40,400,21.2880001068115,1,11.3999996185303,2.43361330032349
38,0,500,14,0,0,40,0,300,27,0,12,0,0,55000,18,9,0,40,81,39.4000015258789,1,7.5,2.01490306854248
