"Student","Gender","PSATM","SATM","ACTM","Rank","Size","GPAadj","PlcmtScore","Recommends","Course","Grade","RecTaken","TooHigh","TooLow","CourseSuccess"
2434,NA,NA,NA,29,56,86,22,20,"R01",120,"D+",0,1,0,0
2434,NA,NA,NA,29,56,86,22,20,"R01",120,"D",0,1,0,0
2445,NA,NA,40,19,28,48,28,13,"R01",120,"D",0,1,0,0
2445,NA,NA,40,19,28,48,28,13,"R01",120,"D",0,1,0,0
2449,NA,52,58,27,93,133,27,22,"R01",120,"B-",0,1,0,0
2452,NA,NA,54,NA,6,24,0,-5,"R01",120,"B",0,1,0,1
2472,NA,NA,NA,19,55,184,35,20,"R01",120,"B-",0,1,0,0
2483,NA,NA,NA,25,NA,NA,25,18,"R01",120,"",0,1,0,NA
2516,NA,NA,52,27,NA,NA,26,21,"R01",120,"B-",0,1,0,0
2571,NA,NA,NA,21,119,280,27,14,"R01",117,"B+",0,0,0,1
2582,NA,54,NA,19,56,299,30,14,"R01",109,"B",0,0,0,1
2593,NA,NA,62,26,164,312,27,19,"R01",119,"",0,0,0,NA
2646,NA,NA,56,22,NA,NA,29,17,"R01",120,"B-",0,1,0,0
2652,NA,NA,61,24,103,184,31,21,"R01",120,"C-",0,1,0,0
2652,NA,NA,61,24,103,184,31,21,"R01",120,"D",0,1,0,0
2654,NA,36,46,NA,166,550,25,13,"R01",109,"D",0,0,0,0
2688,NA,31,NA,17,83,174,31,14,"R01",117,"C+",0,0,0,0
2740,NA,NA,42,NA,157,550,25,6,"R01",109,"C",0,0,0,0
2742,NA,0,72,32,1,277,40,38,"R01",120,"",0,1,0,NA
2746,NA,NA,NA,17,8,21,38,20,"R01",109,"B",0,0,0,1
2788,NA,NA,NA,27,80,296,29,21,"R01",120,"C",0,1,0,0
2827,NA,53,NA,22,231,471,30,19,"R01",120,"B",0,1,0,1
2848,NA,NA,NA,18,93,408,34,20,"R01",210,"",0,0,0,NA
2863,NA,NA,62,25,180,357,25,18,"R01",117,"",0,0,0,NA
2870,NA,NA,NA,19,190,526,28,14,"R01",109,"C+",0,0,0,0
2920,NA,0,58,24,207,379,27,15,"R01",120,"F",0,1,0,0
2979,NA,NA,NA,19,28,120,36,19,"R01",120,"B-",0,1,0,0
2999,NA,43,NA,20,354,677,27,12,"R01",210,"",0,0,0,NA
3004,NA,NA,58,NA,414,557,24,19,"R01",120,"C+",0,1,0,0
3012,NA,NA,52,24,104,463,30,20,"R01",109,"B",0,0,0,1
3070,NA,NA,NA,22,121,302,27,17,"R01",109,"B",0,0,0,1
3183,NA,NA,59,26,255,375,25,20,"R01",120,"B-",0,1,0,0
3185,NA,NA,49,20,342,617,25,10,"R01",120,"",0,1,0,NA
3221,NA,NA,NA,25,123,400,29,19,"R01",109,"B",0,0,0,1
3256,NA,NA,45,19,125,466,35,21,"R01",109,"C+",0,0,0,0
3257,NA,NA,NA,18,19,173,36,21,"R01",117,"C",0,0,0,0
3264,NA,56,62,24,NA,NA,30,21,"R01",120,"C+",0,1,0,0
3268,NA,NA,51,19,36,91,28,13,"R01",210,"",0,0,0,NA
3269,NA,NA,NA,23,86,210,28,18,"R01",120,"C",0,1,0,0
3303,NA,NA,NA,19,86,191,28,15,"R01",120,"",0,1,0,NA
3320,NA,NA,NA,20,179,521,28,16,"R01",120,"",0,1,0,NA
3322,NA,47,NA,21,75,261,33,20,"R01",120,"",0,1,0,NA
3325,NA,61,NA,24,209,369,24,14,"R01",120,"",0,1,0,NA
3339,NA,50,NA,22,3,35,33,22,"R01",109,"",0,0,0,NA
3380,NA,NA,NA,21,105,328,30,20,"R01",117,"",0,0,0,NA
3452,NA,NA,NA,17,87,273,29,14,"R01",117,"",0,0,0,NA
3560,NA,NA,NA,19,184,416,30,19,"R01",120,"",0,1,0,NA
3562,NA,NA,NA,24,NA,NA,29,21,"R01",119,"",0,0,0,NA
3601,NA,NA,NA,25,245,426,29,18,"R01",120,"",0,1,0,NA
3625,NA,NA,NA,23,46,360,35,21,"R01",120,"",0,1,0,NA
3648,NA,NA,41,21,187,338,27,20,"R01",120,"",0,1,0,NA
3748,NA,NA,NA,18,130,254,30,19,"R01",120,"",0,1,0,NA
3793,NA,NA,NA,23,132,254,29,21,"R01",120,"",0,1,0,NA
3809,NA,NA,NA,21,NA,NA,33,22,"R01",120,"",0,1,0,NA
3938,NA,65,NA,28,10,292,38,35,"R01",120,"",0,1,0,NA
3969,NA,NA,55,25,60,334,29,20,"R01",120,"",0,1,0,NA
3981,NA,NA,NA,18,56,217,31,17,"R01",109,"",0,0,0,NA
256,0,NA,NA,27,4,72,39,37,"R1",122,"A",0,1,0,1
257,1,62,64,25,5,516,40,37,"R1",122,"A",0,1,0,1
258,0,NA,64,27,1,327,40,37,"R1",120,"B+",1,1,0,1
259,0,66,NA,26,23,599,39,37,"R1",122,"B+",0,1,0,1
260,0,66,65,29,13,443,38,37,"R1",120,"C",1,1,0,0
261,0,NA,NA,29,1,260,40,37,"R1",120,"A",1,1,0,1
263,1,NA,NA,36,35,101,30,37,"R1",122,"C",0,1,0,0
264,0,NA,NA,29,70,536,38,37,"R1",117,"A",0,0,0,1
265,0,55,NA,26,2,77,40,37,"R1",120,"A-",1,1,0,1
266,0,NA,62,27,NA,NA,39,37,"R1",120,"A",1,1,0,1
267,0,58,NA,27,1,104,40,37,"R1",122,"A",0,1,0,1
268,0,NA,NA,27,3,72,39,36,"R1",122,"B+",0,1,0,1
269,0,57,57,27,1,70,40,36,"R1",117,"A-",0,0,0,1
270,1,59,NA,27,76,435,36,36,"R1",120,"A-",1,1,0,1
271,0,56,58,28,41,514,38,36,"R1",120,"B",1,1,0,1
272,1,NA,58,26,3,104,40,36,"R1",120,"B-",1,1,0,0
273,0,NA,NA,29,7,162,40,36,"R1",120,"B",1,1,0,1
274,1,59,NA,28,5,63,39,36,"R1",120,"C+",1,1,0,0
277,1,66,58,29,64,472,37,36,"R1",120,"A+",1,1,0,1
278,0,NA,NA,27,10,176,39,36,"R1",120,"A",1,1,0,1
279,0,NA,62,28,9,196,39,36,"R1",120,"B",1,1,0,1
280,0,55,NA,26,26,497,39,36,"R1",120,"B-",1,1,0,0
281,1,NA,NA,27,29,413,39,36,"R1",120,"A-",1,1,0,1
282,0,59,NA,26,5,251,40,36,"R1",117,"A",0,0,0,1
283,0,NA,NA,27,3,43,38,36,"R1",120,"B",1,1,0,1
284,1,63,69,27,1,42,39,36,"R1",120,"A",1,1,0,1
285,0,NA,65,29,114,443,34,36,"R1",120,"B+",1,1,0,1
286,0,NA,61,27,1,65,37,36,"R1",120,"B",1,1,0,1
287,1,63,69,NA,41,287,35,35,"R1",120,"A-",1,1,0,1
288,1,58,NA,27,8,192,39,35,"R1",120,"A-",1,1,0,1
289,1,NA,56,NA,27,462,38,35,"R1",122,"A-",0,1,0,1
290,0,66,65,27,3,105,39,35,"R1",120,"B-",1,1,0,0
291,0,NA,NA,24,NA,NA,37,35,"R1",120,"A",1,1,0,1
292,1,NA,NA,34,NA,NA,32,35,"R1",122,"B",0,1,0,1
293,0,51,NA,28,7,323,40,35,"R1",120,"B",1,1,0,1
295,1,65,NA,26,4,403,39,35,"R1",120,"A",1,1,0,1
296,0,NA,55,26,1,320,40,35,"R1",120,"B",1,1,0,1
297,0,NA,65,NA,51,421,38,35,"R1",120,"B",1,1,0,1
298,0,NA,67,NA,99,443,36,34,"R1",120,"A",1,1,0,1
299,1,NA,68,31,181,553,31,34,"R1",122,"B-",0,1,0,0
300,0,63,NA,27,34,253,37,34,"R1",120,"A",1,1,0,1
301,0,NA,56,25,2,14,39,34,"R1",120,"B",1,1,0,1
302,0,NA,NA,28,35,295,37,34,"R1",120,"A-",1,1,0,1
303,0,NA,56,26,5,142,39,34,"R1",120,"B",1,1,0,1
304,0,57,NA,27,29,254,39,34,"R1",120,"B",1,1,0,1
306,0,NA,NA,25,2,55,40,34,"R1",117,"A-",0,0,0,1
307,1,NA,67,27,11,325,38,34,"R1",120,"A-",1,1,0,1
308,1,62,NA,27,13,443,37,34,"R1",120,"A",1,1,0,1
309,0,59,56,28,1,525,40,34,"R1",120,"A-",1,1,0,1
311,0,NA,62,NA,5,155,39,34,"R1",120,"C",1,1,0,0
312,0,NA,NA,27,4,58,39,34,"R1",120,"A",1,1,0,1
313,0,NA,NA,23,1,47,40,33,"R1",120,"C+",1,1,0,0
314,1,NA,71,NA,149,496,32,33,"R1",120,"A",1,1,0,1
315,0,60,68,24,3,59,40,33,"R1",120,"B",1,1,0,1
316,1,NA,NA,28,22,360,38,33,"R1",120,"B",1,1,0,1
317,0,NA,60,25,45,421,38,33,"R1",120,"A-",1,1,0,1
318,1,57,NA,27,53,334,36,33,"R1",120,"C-",1,1,0,0
320,0,60,63,29,1,252,39,33,"R1",120,"B-",1,1,0,0
321,1,57,NA,25,23,482,39,33,"R1",120,"B+",1,1,0,1
322,1,NA,63,NA,26,182,37,33,"R1",120,"A",1,1,0,1
323,1,NA,NA,25,4,45,35,33,"R1",120,"C",1,1,0,0
324,1,NA,NA,26,125,598,35,33,"R1",120,"A-",1,1,0,1
325,0,NA,64,26,27,281,38,33,"R1",117,"A-",0,0,0,1
326,0,60,NA,29,29,302,36,33,"R1",120,"A",1,1,0,1
327,0,NA,NA,26,2,127,38,33,"R1",120,"B",1,1,0,1
328,0,NA,NA,25,65,666,38,33,"R1",120,"A",1,1,0,1
329,1,61,NA,29,115,473,36,33,"R1",117,"A",0,0,0,1
330,1,NA,NA,30,96,525,33,33,"R1",120,"B",1,1,0,1
331,0,63,NA,24,4,62,40,33,"R1",120,"B",1,1,0,1
332,0,NA,58,24,16,554,40,33,"R1",120,"A",1,1,0,1
333,0,NA,NA,29,46,570,36,33,"R1",120,"A",1,1,0,1
334,0,NA,NA,28,79,589,36,32,"R1",120,"B+",1,1,0,1
335,0,NA,NA,27,3,90,38,32,"R1",120,"B-",1,1,0,0
336,1,55,62,30,66,634,37,32,"R1",120,"A-",1,1,0,1
337,0,53,NA,26,48,253,35,32,"R1",120,"D",1,1,0,0
339,0,63,NA,27,61,360,37,32,"R1",120,"A",1,1,0,1
340,0,NA,75,NA,NA,NA,28,32,"R1",122,"B",0,1,0,1
341,1,76,75,31,199,471,30,32,"R1",117,"B",0,0,0,1
343,1,NA,NA,25,4,335,40,32,"R1",117,"B+",0,0,0,1
344,1,NA,61,27,106,413,35,32,"R1",120,"A",1,1,0,1
345,1,59,68,29,116,568,35,32,"R1",117,"C+",0,0,0,0
347,0,80,72,31,104,525,35,31,"R1",120,"A",1,1,0,1
348,1,58,NA,27,108,634,35,31,"R1",120,"C",1,1,0,0
351,1,NA,60,29,47,224,35,31,"R1",120,"A-",1,1,0,1
352,0,53,NA,21,22,254,37,31,"R1",120,"B",1,1,0,1
353,1,NA,NA,26,69,364,37,30,"R1",120,"B-",1,1,0,0
354,1,NA,NA,28,17,217,37,30,"R1",120,"B-",1,1,0,0
355,0,NA,65,NA,17,190,37,30,"R1",120,"B+",1,1,0,1
356,0,NA,NA,28,14,355,38,30,"R1",120,"A",1,1,0,1
357,1,NA,62,27,113,437,33,30,"R1",120,"C",1,1,0,0
358,0,NA,NA,26,45,323,36,30,"R1",120,"C+",1,1,0,0
359,1,55,64,27,75,287,33,30,"R1",120,"C",1,1,0,0
360,0,NA,53,25,47,500,37,30,"R1",117,"B+",0,0,0,1
361,0,NA,63,23,83,421,36,30,"R1",120,"A",1,1,0,1
362,0,NA,NA,21,7,311,40,30,"R1",120,"C",1,1,0,0
364,1,NA,NA,30,136,527,31,30,"R1",120,"B",1,1,0,1
365,1,51,NA,24,3,31,39,30,"R1",117,"A-",0,0,0,1
366,0,NA,NA,27,27,223,35,30,"R1",120,"C",1,1,0,0
367,1,NA,NA,25,111,437,34,30,"R1",120,"B+",1,1,0,1
368,1,45,NA,19,21,464,38,30,"R1",120,"A-",1,1,0,1
369,1,56,57,25,90,634,38,30,"R1",120,"C+",1,1,0,0
370,0,60,NA,27,9,251,37,29,"R1",120,"B",1,1,0,1
371,0,NA,NA,29,34,185,35,29,"R1",120,"C",1,1,0,0
372,1,63,NA,24,6,177,39,29,"R1",120,"B-",1,1,0,0
373,1,NA,NA,26,70,390,31,29,"R1",120,"B",1,1,0,1
374,0,NA,60,24,NA,NA,35,29,"R1",120,"C+",1,1,0,0
375,0,56,55,NA,13,126,37,29,"R1",120,"C+",1,1,0,0
376,0,NA,NA,27,68,338,31,29,"R1",120,"C+",1,1,0,0
377,0,NA,NA,25,4,60,39,29,"R1",117,"B",0,0,0,1
379,1,NA,58,28,48,333,33,29,"R1",120,"B+",1,1,0,1
380,0,NA,63,NA,NA,NA,32,29,"R1",120,"B",1,1,0,1
381,1,NA,55,25,39,304,36,29,"R1",117,"B",0,0,0,1
382,1,NA,NA,26,122,520,31,29,"R1",120,"C-",1,1,0,0
383,0,NA,65,26,40,457,31,29,"R1",120,"B",1,1,0,1
384,1,NA,NA,23,9,36,38,29,"R1",120,"C+",1,1,0,0
385,0,56,64,24,35,294,38,29,"R1",120,"A-",1,1,0,1
386,0,NA,NA,25,86,462,34,29,"R1",120,"C",1,1,0,0
388,0,NA,NA,27,131,371,32,28,"R1",117,"B-",0,0,0,0
389,1,NA,62,29,NA,NA,30,28,"R1",120,"A",1,1,0,1
390,1,62,62,NA,69,253,32,28,"R1",117,"A",0,0,0,1
391,1,59,NA,27,97,378,33,28,"R1",120,"C-",1,1,0,0
392,0,58,53,24,94,554,37,28,"R1",120,"C-",1,1,0,0
394,0,NA,NA,21,55,500,37,28,"R1",120,"A-",1,1,0,1
395,1,60,62,26,236,524,29,28,"R1",120,"B",1,1,0,1
396,1,53,55,23,84,464,37,28,"R1",117,"B",0,0,0,1
397,0,NA,NA,24,35,311,36,28,"R1",120,"C+",1,1,0,0
399,1,58,NA,21,127,575,34,28,"R1",126,"B-",0,1,0,0
400,1,64,NA,30,286,595,30,28,"R1",120,"A",1,1,0,1
401,0,NA,54,NA,6,218,34,28,"R1",120,"B+",1,1,0,1
402,1,NA,NA,23,15,100,34,28,"R1",120,"C",1,1,0,0
403,1,60,NA,25,53,337,33,28,"R1",120,"B",1,1,0,1
404,0,53,NA,26,80,345,32,28,"R1",120,"C+",1,1,0,0
405,1,NA,63,25,153,421,32,28,"R1",120,"C",1,1,0,0
406,0,50,58,23,97,442,36,28,"R1",120,"B",1,1,0,1
407,0,69,NA,24,68,548,35,28,"R1",120,"A-",1,1,0,1
408,1,NA,NA,27,140,697,33,28,"R1",120,"C-",1,1,0,0
409,1,NA,NA,23,9,75,39,28,"R1",120,"C+",1,1,0,0
410,0,NA,NA,26,82,343,34,28,"R1",120,"B+",1,1,0,1
411,1,64,NA,27,88,232,33,28,"R1",120,"B+",1,1,0,1
412,1,55,62,25,NA,NA,34,28,"R1",120,"C",1,1,0,0
413,1,49,NA,25,42,249,34,28,"R1",120,"C",1,1,0,0
414,0,NA,NA,23,9,177,39,27,"R1",120,"B",1,1,0,1
416,0,51,NA,24,10,52,35,27,"R1",120,"B",1,1,0,1
417,0,NA,51,28,NA,NA,35,27,"R1",120,"B",1,1,0,1
418,0,49,64,25,97,350,35,27,"R1",120,"A-",1,1,0,1
419,1,NA,NA,23,33,229,34,27,"R1",120,"A-",1,1,0,1
420,1,NA,NA,23,45,222,33,27,"R1",120,"C",1,1,0,0
421,1,63,58,NA,87,249,33,27,"R1",210,"A-",0,0,0,1
422,0,NA,55,NA,NA,NA,37,27,"R1",120,"B+",1,1,0,1
424,0,69,NA,22,27,163,38,27,"R1",120,"B",1,1,0,1
425,0,NA,63,NA,NA,NA,34,27,"R1",117,"C+",0,0,0,0
426,1,NA,NA,24,49,163,34,27,"R1",120,"A",1,1,0,1
427,0,NA,51,NA,10,400,38,27,"R1",120,"B",1,1,0,1
428,0,NA,NA,26,53,431,36,27,"R1",120,"C",1,1,0,0
430,1,NA,NA,24,30,62,33,27,"R1",120,"B",1,1,0,1
431,1,NA,NA,25,61,466,33,27,"R1",120,"B+",1,1,0,1
432,0,NA,52,NA,6,73,36,27,"R1",120,"B-",1,1,0,0
433,0,NA,NA,22,6,412,39,27,"R1",120,"B-",1,1,0,0
434,0,54,NA,24,95,344,34,27,"R1",120,"C-",1,1,0,0
435,0,NA,NA,23,109,339,32,27,"R1",120,"C",1,1,0,0
436,0,61,NA,23,9,62,38,27,"R1",120,"C+",1,1,0,0
437,0,NA,NA,20,9,58,37,26,"R1",120,"C-",1,1,0,0
438,0,NA,54,22,119,413,35,26,"R1",120,"B+",1,1,0,1
439,1,56,60,27,155,451,32,26,"R1",120,"B",1,1,0,1
440,0,NA,NA,22,23,240,37,26,"R1",117,"A",0,0,0,1
441,1,NA,NA,27,169,433,30,26,"R1",120,"B-",1,1,0,0
442,0,NA,NA,22,46,518,37,26,"R1",120,"C+",1,1,0,0
444,0,NA,55,21,115,432,33,26,"R1",120,"A",1,1,0,1
445,0,NA,NA,24,50,310,35,26,"R1",210,"A-",0,0,0,1
447,1,NA,NA,29,40,116,31,26,"R1",120,"C-",1,1,0,0
447,1,NA,NA,29,40,116,31,26,"R1",120,"D",1,1,0,0
448,1,NA,NA,30,45,102,28,26,"R1",120,"B",1,1,0,1
450,0,NA,53,NA,69,470,36,26,"R1",117,"B",0,0,0,1
451,0,55,NA,27,103,580,34,26,"R1",117,"B+",0,0,0,1
452,0,NA,NA,24,27,188,35,26,"R1",120,"B",1,1,0,1
454,0,43,NA,22,62,215,34,25,"R1",120,"C",1,1,0,0
455,0,NA,57,18,80,421,36,25,"R1",120,"B+",1,1,0,1
457,1,NA,NA,23,33,176,35,25,"R1",120,"C+",1,1,0,0
458,0,NA,NA,26,9,33,35,25,"R1",117,"B+",0,0,0,1
459,1,NA,NA,23,97,345,35,25,"R1",120,"C+",1,1,0,0
460,1,49,51,25,76,497,36,25,"R1",120,"B",1,1,0,1
461,0,NA,NA,23,58,580,37,25,"R1",120,"C+",1,1,0,0
462,0,NA,NA,27,140,441,34,25,"R1",120,"B+",1,1,0,1
463,0,47,46,17,4,125,40,25,"R1",120,"B",1,1,0,1
464,0,54,61,27,94,480,32,25,"R1",120,"C",1,1,0,0
465,0,NA,NA,23,5,77,37,25,"R1",117,"A",0,0,0,1
466,1,NA,58,24,188,442,31,25,"R1",120,"B",1,1,0,1
467,0,NA,76,27,NA,NA,32,25,"R1",120,"B",1,1,0,1
468,1,NA,NA,27,177,350,31,25,"R1",120,"C",1,1,0,0
469,1,NA,69,28,111,431,31,25,"R1",120,"C",1,1,0,0
470,1,70,66,25,30,251,34,25,"R1",117,"C",0,0,0,0
471,0,60,NA,24,143,497,35,25,"R1",120,"C",1,1,0,0
472,1,NA,NA,27,140,300,28,25,"R1",120,"A",1,1,0,1
474,1,65,60,NA,68,219,29,24,"R1",117,"B-",0,0,0,0
476,0,41,NA,23,64,379,36,24,"R1",117,"B",0,0,0,1
477,0,55,NA,25,65,229,33,24,"R1",109,"B-",0,0,0,0
479,1,62,NA,24,256,481,29,24,"R1",120,"B+",1,1,0,1
481,0,43,NA,21,23,98,35,24,"R1",120,"B",1,1,0,1
482,0,59,NA,25,10,55,36,24,"R1",117,"A-",0,0,0,1
483,0,NA,NA,26,28,137,32,24,"R1",120,"B",1,1,0,1
484,0,47,NA,24,36,334,37,24,"R1",120,"C-",1,1,0,0
486,1,NA,63,NA,24,90,33,24,"R1",120,"C",1,1,0,0
487,1,NA,73,29,NA,NA,29,24,"R1",120,"B-",1,1,0,0
488,1,NA,65,27,23,259,36,24,"R1",117,"A-",0,0,0,1
491,0,62,49,19,1,144,40,24,"R1",120,"B",1,1,0,1
492,0,NA,60,NA,139,476,31,24,"R1",117,"B",0,0,0,1
493,1,NA,67,30,21,59,26,24,"R1",120,"B",1,1,0,1
494,0,NA,NA,22,37,348,38,24,"R1",117,"C+",0,0,0,0
495,0,NA,54,NA,161,421,33,23,"R1",120,"C-",1,1,0,0
497,1,42,NA,26,137,286,31,23,"R1",120,"B-",1,1,0,0
498,1,NA,NA,25,194,471,30,23,"R1",120,"B",1,1,0,1
500,1,NA,57,25,126,494,31,23,"R1",117,"F",0,0,0,0
502,0,56,NA,29,NA,NA,30,23,"R1",117,"W",0,0,0,0
503,1,58,54,26,106,332,31,23,"R1",120,"C-",1,1,0,0
504,0,52,53,27,22,125,32,23,"R1",117,"A",0,0,0,1
505,0,NA,NA,24,122,503,33,23,"R1",120,"B",1,1,0,1
506,1,54,54,23,83,349,35,23,"R1",117,"B",0,0,0,1
507,0,58,NA,26,43,272,34,23,"R1",120,"D-",1,1,0,0
508,1,57,NA,24,13,59,28,23,"R1",120,"B+",1,1,0,1
509,0,60,NA,26,38,272,33,22,"R1",120,"B-",1,1,0,0
511,1,57,NA,20,13,90,37,22,"R1",120,"B+",1,1,0,1
513,1,54,54,NA,NA,NA,34,22,"R1",120,"A-",1,1,0,1
514,0,NA,NA,21,2,33,40,22,"R1",117,"B+",0,0,0,1
515,0,NA,65,26,204,759,29,22,"R1",117,"B",0,0,0,1
516,1,NA,62,26,174,390,31,22,"R1",120,"B+",1,1,0,1
518,1,NA,NA,27,96,249,32,22,"R1",120,"C",1,1,0,0
520,1,65,NA,26,59,244,29,22,"R1",120,"B-",1,1,0,0
521,1,NA,NA,22,144,442,31,22,"R1",120,"B-",1,1,0,0
522,1,56,53,NA,50,238,33,22,"R1",120,"C",1,1,0,0
523,0,52,NA,25,58,412,33,22,"R1",120,"C-",1,1,0,0
716,1,56,61,NA,72,107,NA,NA,"R1",120,"A-",1,1,0,1
746,1,54,NA,26,56,177,NA,NA,"R1",120,"D",1,1,0,0
805,1,NA,57,NA,NA,NA,NA,NA,"R1",120,"B+",1,1,0,1
807,NA,NA,68,NA,NA,NA,32,28,"R1",109,"A-",0,0,0,1
811,NA,53,58,NA,52,172,30,22,"R1",109,"B-",0,0,0,0
816,NA,59,56,29,78,277,32,26,"R1",109,"A",0,0,0,1
819,NA,NA,59,NA,NA,NA,32,25,"R1",109,"B+",0,0,0,1
854,NA,NA,57,NA,30,222,29,25,"R1",120,"D-",1,1,0,0
855,NA,NA,59,NA,NA,NA,30,26,"R1",120,"B-",1,1,0,0
858,NA,NA,NA,26,45,174,33,24,"R1",120,"C+",1,1,0,0
860,NA,43,NA,19,22,94,34,23,"R1",120,"C+",1,1,0,0
861,NA,54,NA,29,22,405,38,37,"R1",120,"B",1,1,0,1
862,NA,NA,NA,27,1,14,39,36,"R1",120,"B-",1,1,0,0
863,NA,55,57,27,185,486,29,23,"R1",117,"A",0,0,0,1
864,NA,NA,61,NA,NA,NA,27,21,"R1",120,"B-",1,1,0,0
865,NA,51,55,25,25,326,33,24,"R1",120,"B",1,1,0,1
867,NA,NA,NA,25,17,83,32,27,"R1",120,"C+",1,1,0,0
869,NA,NA,NA,27,6,185,40,36,"R1",120,"C",1,1,0,0
870,NA,58,NA,26,116,280,31,26,"R1",120,"A-",1,1,0,1
871,NA,NA,NA,28,29,283,35,33,"R1",120,"A",1,1,0,1
873,NA,60,NA,25,11,185,39,33,"R1",120,"A",1,1,0,1
874,NA,NA,48,21,33,201,36,26,"R1",120,"C-",1,1,0,0
875,NA,61,NA,27,15,58,30,23,"R1",120,"C+",1,1,0,0
879,NA,NA,NA,29,27,201,37,31,"R1",120,"A",1,1,0,1
880,NA,NA,49,NA,NA,NA,36,24,"R1",117,"B",0,0,0,1
881,NA,NA,51,22,43,173,35,22,"R1",210,"A-",0,0,0,1
882,NA,52,69,29,67,471,36,34,"R1",120,"A-",1,1,0,1
883,NA,NA,NA,29,93,450,32,29,"R1",120,"B-",1,1,0,0
886,NA,73,70,29,197,424,23,18,"R1",120,"D+",1,1,0,0
889,NA,50,54,24,19,274,37,30,"R1",120,"B-",1,1,0,0
890,NA,NA,67,30,23,333,37,37,"R1",120,"A",1,1,0,1
891,NA,NA,57,30,26,500,38,33,"R1",120,"A-",1,1,0,1
892,NA,NA,NA,27,165,626,33,28,"R1",120,"B-",1,1,0,0
893,NA,50,NA,26,295,528,27,22,"R1",120,"C+",1,1,0,0
895,NA,49,51,23,17,120,34,22,"R1",120,"D+",1,1,0,0
896,NA,NA,NA,24,87,306,33,23,"R1",120,"B-",1,1,0,0
897,NA,54,NA,25,85,339,33,29,"R1",120,"B-",1,1,0,0
899,NA,59,NA,26,94,377,34,28,"R1",120,"D+",1,1,0,0
900,NA,63,NA,28,10,251,39,37,"R1",120,"A",1,1,0,1
901,NA,NA,67,NA,109,463,35,28,"R1",120,"A",1,1,0,1
903,NA,NA,NA,24,13,241,35,29,"R1",120,"A-",1,1,0,1
906,NA,NA,NA,22,119,444,36,29,"R1",120,"D+",1,1,0,0
907,NA,57,NA,24,10,184,39,34,"R1",120,"A",1,1,0,1
908,NA,41,NA,23,116,610,37,25,"R1",120,"B-",1,1,0,0
910,NA,55,NA,30,4,383,40,37,"R1",120,"A-",1,1,0,1
912,NA,NA,NA,20,50,247,32,23,"R1",120,"B-",1,1,0,0
913,NA,NA,NA,29,234,504,28,25,"R1",122,"B",0,1,0,1
915,NA,NA,58,28,85,557,37,33,"R1",120,"B+",1,1,0,1
916,NA,54,60,NA,115,236,31,28,"R1",120,"B+",1,1,0,1
919,NA,NA,NA,28,4,258,39,37,"R1",120,"A-",1,1,0,1
920,NA,NA,NA,25,NA,NA,25,22,"R1",120,"W",1,1,0,0
920,NA,NA,NA,25,NA,NA,25,22,"R1",120,"D",1,1,0,0
921,NA,NA,NA,27,31,333,36,31,"R1",120,"B",1,1,0,1
923,NA,NA,NA,26,2,98,40,36,"R1",120,"A-",1,1,0,1
924,NA,NA,NA,23,19,214,33,24,"R1",120,"B",1,1,0,1
925,NA,55,57,25,21,198,39,33,"R1",120,"A",1,1,0,1
926,NA,NA,78,28,NA,NA,32,32,"R1",120,"A",1,1,0,1
928,NA,55,NA,23,32,346,35,28,"R1",120,"B",1,1,0,1
930,NA,NA,NA,28,146,399,30,27,"R1",117,"B+",0,0,0,1
931,NA,60,63,NA,35,87,33,30,"R1",120,"B",1,1,0,1
933,NA,NA,NA,28,116,292,32,30,"R1",120,"B",1,1,0,1
934,NA,60,NA,27,29,287,38,35,"R1",120,"A-",1,1,0,1
935,NA,NA,NA,27,13,45,29,25,"R1",120,"C-",1,1,0,0
936,NA,NA,NA,27,4,113,38,33,"R1",120,"A-",1,1,0,1
937,NA,43,NA,22,51,155,33,23,"R1",120,"D",1,1,0,0
940,NA,NA,NA,23,30,138,32,25,"R1",120,"B",1,1,0,1
943,NA,NA,NA,21,1,270,40,31,"R1",120,"B",1,1,0,1
945,NA,NA,NA,27,28,300,35,27,"R1",120,"C+",1,1,0,0
946,NA,NA,56,NA,102,353,35,28,"R1",120,"B-",1,1,0,0
950,NA,NA,NA,22,69,257,32,24,"R1",120,"D",1,1,0,0
952,NA,70,62,27,71,493,37,32,"R1",120,"B",1,1,0,1
953,NA,59,57,28,28,377,39,37,"R1",120,"A",1,1,0,1
954,NA,NA,NA,24,106,617,35,29,"R1",120,"B+",1,1,0,1
955,NA,NA,NA,26,147,426,31,25,"R1",120,"C-",1,1,0,0
956,NA,52,NA,24,12,154,39,33,"R1",120,"C",1,1,0,0
957,NA,NA,NA,20,3,35,40,29,"R1",120,"B",1,1,0,1
959,NA,47,NA,25,41,280,39,34,"R1",120,"C",1,1,0,0
961,NA,NA,NA,25,2,58,40,34,"R1",120,"B-",1,1,0,0
962,NA,63,65,27,56,499,37,31,"R1",120,"C",1,1,0,0
963,NA,NA,63,26,28,125,33,27,"R1",120,"B+",1,1,0,1
964,NA,65,65,NA,14,112,37,34,"R1",120,"B",1,1,0,1
965,NA,NA,NA,22,20,228,37,29,"R1",120,"C-",1,1,0,0
969,NA,NA,59,NA,NA,NA,29,24,"R1",120,"A-",1,1,0,1
971,NA,NA,NA,24,37,228,36,27,"R1",120,"C",1,1,0,0
